"","State Code","County Code(FIPS Code)","Place Code","Year Built","Year of Average Daily Traffic","Year of Improvement Cost Estimate","Year Reconstructed","Year of Future Average Daily Traffic","Deck","Superstructure","Substructure","Channel and Channel Protection","Culverts","Location","Facility Carried","Structure Number","Year"
"1",55,51,0,1932,2014,2014,1958,2034,"4","5","5","4","N","6KM NW OF LAC DU FLAMBEAU","    IRR BIA RTE 10","00000000000F303",2015
"2",55,115,0,1948,2014,2014,1990,2034,"4","4","7","5","N","    10 KM  NE  OF  BOWLER","   IRR BIA RTE  24","00000000000F310",2015
"3",55,115,0,1979,2014,2014,0,2034,"6","7","8","6","N","    13 KM  NE  OF  BOWLER","   IRR BIA RTE  21","00000000000F311",2015
"4",55,3,0,1977,2014,2014,0,2034,"5","5","7","4","N","   3 KM  EAST  OF  ODANAH","    IRR BIA RTE  9","00000000000F315",2015
"5",55,3,59450,1980,2014,2014,2003,2034,"7","8","7","7","N","     3 KM  NW  OF  ODANAH","   IRR BIA RTE  52","00000000000F317",2015
"6",55,3,59450,1980,2014,2014,2003,2034,"7","8","7","7","N","        2 KM NW OF ODANAH","   IRR BIA RTE  52","00000000000F318",2015
"7",55,115,0,1884,2014,2014,0,2034,"6","8","8","8","N","   20 KM  NW  OF  GRESHAM","   IRR BIA RTE  21","00000000000F321",2015
"8",55,3,0,1999,2014,2014,0,2034,"7","7","6","5","N","  5.3 KM NORTH OF HWY 169","    IRR BIA RTE 33","00000000000F323",2015
"9",55,3,0,2006,2014,2014,0,2034,"7","7","7","5","N","10KM NORTH OF JCT HWY 169","   IRR BIA RTE  33","00000000000F324",2015
"10",55,3,0,1996,2014,2014,0,2034,"7","7","7","5","N","8 KM NORTH OF JCT HWY 169","   IRR BIA RTE  33","00000000000F325",2015
"11",55,51,0,1996,2013,2014,0,2034,"7","7","7","6","N","13KM N OF LAC DU FLAMBEAU","   IRR BIA RTE  10","00000000000F326",2015
"12",55,3,0,1981,2014,2014,0,2034,"7","7","7","7","N","  7 KM  EAST  OF  ASHLAND","   IRR BIA RTE  19","00000000000F328",2015
"13",55,7,0,2000,2014,2014,0,2034,"7","7","8","7","N","    8KM NORTH OF REDCLIFF","    IRR BIA RTE 16","00000000000F329",2015
"14",55,115,0,2003,2014,2014,0,2034,"7","7","8","6","N","       16KM NW OF GRESHEM","  IRR BIA RTE 1022","00000000000F330",2015
